source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[developmental stage]	characteristics[disease]	characteristics[genotype]	characteristics[biological replicate]	assay name	technology type	comment[technical replicate]	comment[fraction identifier]	comment[label]	comment[cleavage agent details]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[data file]	comment[proteomics data acquisition method]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]
sample 31	Arabidopsis thaliana	whole seedlings	plant cell	2-week old	not applicable	MTApro:MTA-GFP/mta	1	MTA-GFP 1	proteomic profiling by mass spectrometry	1	31	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	MTA_1_1.RAW	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0
sample 32	Arabidopsis thaliana	whole seedlings	plant cell	2-week old	not applicable	MTApro:MTA-GFP/mta	1	MTA-GFP 1	proteomic profiling by mass spectrometry	1	32	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	MTA_1_2.RAW	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0
sample 33	Arabidopsis thaliana	whole seedlings	plant cell	2-week old	not applicable	MTApro:MTA-GFP/mta	1	MTA-GFP 1	proteomic profiling by mass spectrometry	1	33	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	MTA_1_3.RAW	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0
sample 34	Arabidopsis thaliana	whole seedlings	plant cell	2-week old	not applicable	MTApro:MTA-GFP/mta	1	MTA-GFP 1	proteomic profiling by mass spectrometry	1	34	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	MTA_1_4.RAW	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0
sample 35	Arabidopsis thaliana	whole seedlings	plant cell	2-week old	not applicable	MTApro:MTA-GFP/mta	1	MTA-GFP 1	proteomic profiling by mass spectrometry	1	35	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	MTA_1_5.RAW	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0
sample 36	Arabidopsis thaliana	whole seedlings	plant cell	2-week old	not applicable	hakai-2 MTApro:MTA-GFP/mta	1	hakai MTA-GFP 1	proteomic profiling by mass spectrometry	1	36	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	hakai_MTA_1_1.RAW	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0
sample 37	Arabidopsis thaliana	whole seedlings	plant cell	2-week old	not applicable	hakai-2 MTApro:MTA-GFP/mta	1	hakai MTA-GFP 1	proteomic profiling by mass spectrometry	1	37	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	hakai_MTA_1_2.RAW	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0
sample 38	Arabidopsis thaliana	whole seedlings	plant cell	2-week old	not applicable	hakai-2 MTApro:MTA-GFP/mta	1	hakai MTA-GFP 1	proteomic profiling by mass spectrometry	1	38	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	hakai_MTA_1_3.RAW	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0
sample 39	Arabidopsis thaliana	whole seedlings	plant cell	2-week old	not applicable	hakai-2 MTApro:MTA-GFP/mta	1	hakai MTA-GFP 1	proteomic profiling by mass spectrometry	1	39	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	hakai_MTA_1_4.RAW	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0
sample 40	Arabidopsis thaliana	whole seedlings	plant cell	2-week old	not applicable	hakai-2 MTApro:MTA-GFP/mta	1	hakai MTA-GFP 1	proteomic profiling by mass spectrometry	1	40	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	hakai_MTA_1_5.RAW	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0
sample 41	Arabidopsis thaliana	whole seedlings	plant cell	2-week old	not applicable	MTApro:MTA-GFP/mta	2	MTA-GFP 2	proteomic profiling by mass spectrometry	1	41	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	MTA_2_1.RAW	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0
sample 42	Arabidopsis thaliana	whole seedlings	plant cell	2-week old	not applicable	MTApro:MTA-GFP/mta	2	MTA-GFP 2	proteomic profiling by mass spectrometry	1	42	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	MTA_2_2.RAW	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0
